S1,S2,SCORE
A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.,4
The shirtless man sat in a chair.,A shirtless man is sitting on a chair.,3.8
Two women are wrestling.,Two women are wrestling on the floor.,4
The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.,4
A kangroo is eating something.,A kangaroo is eating.,4.8
A cat is playing a piano.,A man is playing a guitar.,0.6
The man cut some carpet with a knife.,A man is cutting carpet with a knife.,4.75
A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.,2.2
someone is slicing a vegetable.,Someone is slicing a tomato.,3
A woman is dancing.,A man is talking.,0
A dog licks up a baby's drool.,A dog licks a baby.,2.2
A man is rowing a boat.,A man is slicing a tomato.,0.4
A man cuts up potatos.,A man slices potatoes.,4.8
A woman is chopping up garlic.,The woman is dicing garlic.,4.8
An animal run in circles.,A squirrel runs in circles.,3.8
A man is walking slowly across a rope bridge.,A boy is walking across a bridge.,3
A man is playing the guitar.,A man seated in a room is playing the guitar.,4
A man plays the flute.,A man is playing a flute.,5
A woman cracks two eggs into a glass bowl.,A woman is cracking an egg into a bowl.,3.8
A man is cutting a fish.,A man guts a fish.,3
Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.,4.4
A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.,3.8
A man is slicing something.,A man is slicing a bun.,3
A man is paddling a canoe.,A man is playing a harp.,0.667
A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.,4
The woman picked up the kangaroo.,A woman picks up a baby kangaroo.,3.75
Fish are swimming.,A fish is swimming.,4.133
Two women mix something in a food processor.,Two women make something in a blender.,4
A person is surfing a large wave.,A person is surfing.,3.6
A man is playing a guitar.,A man is stabbing a target.,1.2
A man is playing a flute in a band.,A man is playing a guitar.,1.6
The man spread butter on the loaf of bread.,A man is spreading butter onto bread.,4
A person is boiling noodles.,A woman is boiling noodles in water.,4
A group of people dance on a hill.,A group of people are dancing.,3.2
A man is dancing outside.,A man is playing flute.,1
A woman is feeding a man.,A woman is mixing meat.,1
A man is putting a pan into an oven.,A woman is cutting an onion.,0.6
A woman is sitting at a desk.,A woman is riding a donkey.,0.4
Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.,3.4
A woman is playing a flute on stage.,The woman is playing the flute.,3.6
Two baby pandas are playing.,Two pandas are laying together.,3
A baby is laughing.,A baby is laughing and giggling.,4
A man is playing a guitar.,A boy is playing a piano.,1.2
A man is folding paper.,A woman is slicing a pepper.,0.6
Three women are dancing.,The man is dancing.,1.6
The cats are playing with each other.,Two cats are fighting each other.,2.6
A person is writing.,A person is writing with a pencil.,3.6
A man is running.,A man is running down a road.,3.5
The woman is rolling dough.,A woman is flouring and rolling dough.,3.765
A woman is adding spices on a meat.,Woman is adding sugar to meat.,2.75
A woman is adding oil on fishes.,A woman is pouring water on fish.,2.25
A young boy is holding a guitar.,A little boy is playing a guitar.,2.75
A cheetah is running.,A cheetah is running across a field.,3.8
The man is eating pizza.,A man is eating a slice of pizza.,4.8
An orangutan is riding a bus.,A monkey is riding on a bus.,3.6
A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.,1.2
A man is playing a guitar.,A man is cleaning a glass door.,0.4
A girl is singing and playing a guitar.,A young man is singing while playing the guitar.,2.4
A girl is communicating with sign language.,A young girl is using sign language.,3.941
A woman is doing weight exercises.,A woman is doing her hair.,0.5
A man is getting inside a car.,An elderly man is getting into a red car.,3.75
A big green ball knocks a potato over.,A large green ball hits a potato.,4
A cat is playing keyboards.,A cat is playing a piano.,3
Two dogs swim in a pool.,Dogs are swimming in a pool.,4.2
The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.,2
A woman slices tofu.,A woman is cutting tofu.,5
A herd of deer are crossing the street.,A herd of caribou are crossing a road.,3
The person is riding the horse.,A man is riding a horse.,3.8
Someone is feeding a animal.,Someone is playing a piano.,0
Someone is slicing tortila's.,Someone is riding a horse.,0
Someone is mixing ingrediants.,Someone is sewing things.,0.25
A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.,4
A woman holds a kangaroo.,A woman is picking up a kangaroo.,3.25
A man is playing with frogs,A cat is playing with a camera.,0.75
Two men are talking.,Two men are playing guitar.,1.5
A man spreads butter on a big piece of bread.,A man is smearing butter on a slice of garlic bread.,3.5
A man is running across a high wire.,A man is running on rope.,3
A man is mowing a lawn.,A woman is cutting a lemon.,0.2
A man is opening a door.,A man is playing a guitar.,0.8
A man is slicing a potato into pieces.,A man is cutting a potato.,4.2
The woman is cutting cooked octopus.,A woman is chopping octopus.,3.8
A man is punching through boards.,A dog is running through water.,0.4
A man is dancing.,A man is eating bread.,0.8
Someone is playing a piano.,A man is playing a guitar.,1.2
Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.,2.8
A boy is playing a key-board.,A boy is playing the piano.,3.2
A person plays a keyboard.,Someone is playing a keyboard.,5
A man is shooting a gun.,A man is spitting.,0
Someone is slicing an onion.,Someoen is peeling a potato.,1
A man is swimming.,A woman is slicing meat.,0
A man is playing the guitar.,A man plays an acoustic guitar.,3.75
A woman is slicing a pumpkin.,A woman is riding an elephant.,0.4
A woman is dancing.,A woman is kneading dough.,0.4
A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.,0.6
A car is moving through a road.,A car is driving down the road.,4
Someone is greasing a pan.,Smeone is laying down.,0.4
A man is playing guitar.,A man is draining pasta.,0.4
A woman is drinking vodka.,A woman is exercising.,0.4
A woman is cutting meat into pieces.,A woman is cutting up some meat.,4.8
A man is rinsing a steak.,A man is playing a guitar.,0.6
A man is selling items.,A man is cleaning the house.,0.8
A man is jumping a wall.,A man jumps onto a short wall.,3.2
Runners race around a track.,Runners compete in a race.,3.2
A man is kicking a soccer ball.,A man is mixing a bowl.,0.6
A woman is frying something.,A woman is riding a horse.,0.6
A cat is licking a sucker.,A woman is slicing cucumber.,0
A woman is dancing by a fire.,A woman is taking a bath.,1.4
The man is slicing a fish open.,A man is slicing a potato.,2.2
Butter is melting in a pan.,A man is melting butter in a pan.,3.6
Three boys are dancing.,Kids are dancing.,3.111
A woman is playing a game with a man.,A man is playing piano.,0.6
The man is driving a white car.,A man is giving an interview.,0.4
A man drove his car.,A man is driving a car.,4.25
A car backs out of a space.,A car is backing out of a blocked lane.,3
A man puts some cheese on a pizza.,The man sprinkled cheese on the pizza.,5
The boy is playing the piano.,A boy plays a piano.,5
The man played his guitar.,A man is playing a guitar.,3.75
A man is riding a horse.,A man is playing a keyboard.,0.2
A man is walking on a rope.,A man is riding a mo-pad.,0.4
A girl is playing a flute.,A band is playing on a stage.,1.286
People step off a train.,A group of people get off a train.,4.6
A woman is sewing on a machine.,A woman is breading some meat.,0.6
A dog is looking into swimming pool.,A dog is walking around a pool.,2
A man is buttering a piece of bread.,A man is applying butter to bread.,5
A man is cutting tomatoes into pieces.,A woman is cutting some vegetables.,1.8
Three teenage girls danced in the room.,Some teenage girls are dancing for the camera.,2.4
A lion is walking.,A lion is pacing in a pen.,2.4
A man shooting a car.,A man is cutting a potato.,0.4
A black horse is running around.,The horse is running.,4.2
A woman is deveining shrimp.,A man is dancing in rain.,0
A man is riding a horse.,A woman is washing a freezer.,0
A man walks down a path.,A man walks across a tight rope.,0.8
A man is slicing a potato.,A woman is cutting a jalepeno.,1.4
A dog is barking at a ball.,A dog swims after a tennis ball.,1.5
A kid runs away from a fish swinging around on a fishing pole.,A little kid is running around a fishing pole.,2.5
A man is walking along a path through wilderness.,A man is walking down a road.,2.5
An elderly man is speaking at a podium.,A man is making a speech at the podium.,3.5
A man riding a horse in slow motion.,A man is riding on a horse.,3.4
A person is cutting some burrata cheese.,The person is slicing cheese.,3.8
The man is shooting an automatic rifle.,A man is shooting a gun.,3.8
A man is crushing garlic with the back of a knife.,A woman is slicing meat with a knife.,1.5
A woman is filing her fingernails with an emery board.,A woman is feeding her baby with a bottle.,0.5
A man is riding a skateboard.,A woman is cutting a potato.,0
A woman is taking a shower.,A man is riding a white horse.,0
A  man is dancing.,A man is riding a horse.,0.8
A man is rowing a boat.,A man is shooting off a gun.,0.85
A man is swinging from a rope attached to the ceiling.,A man is swinging on a rope.,3.4
A woman is riding a horse on a beach.,A man is carrying another man on his back.,0.4
A man holds a small animal in one hand.,A man shows off a small monkey.,1.75
A person is folding a square paper piece.,A man is folding paper.,3.25
A person is frying meat in a pan.,A person is holding a skunk.,0.75
A chimpanzee is hurting a woman.,A man is driving a car.,0
The woman is peeling shrimp.,The man is holding a lemur.,0
Two zebras are playing.,Zebras are socializing.,4.25
A woman is slicing butter.,A woman slices tofu.,1.8
Some men are playing guitars.,Three men are playing guitars and singing together.,3.2
The elephants sprayed water on themselves.,Elephants spray themselves with water.,3.6
A dog sat at the counter of a store.,The dog is standing at the counter.,2.6
Someone drills a hole in a strip of wood with a power drill.,A man drills a hole in a piece of wood.,3.2
A woman is slicing some vegetables.,The woman is dicing garlic.,2.8
A badger is burrowing a hole.,A badger is digging the earth.,4.6
A woman is water skiing on a lake.,A man is playing a flute.,0
A girl is playing a violin.,A baby is laughing and giggling.,0.25
A helicopter is landing on a helipad.,A helicopter lands.,3.923
A woman is cutting up a chicken.,A woman is slicing meat.,2.75
A woman is cutting a cucumber.,A man is playing a guitar.,0
A woman rides an elephant in front of an adoring crowd.,A woman rides an elephant.,3
A puppy is sliding backwards along the floor.,A puppy is pushing itself backwards.,3.8
A woman splits garlic cloves.,A woman is breaking a head of garlic into cloves.,4.6
A dog is looking into swimming pool.,A dog is walking along the edge of a pool.,2.6
A woman mixes a beauty treatment in a glass.,A woman is mixing a cream in a glass with a spoon.,3.6
A man is drawing a picture.,A person is drawing.,3.6
A woman is picking tomatoes.,A woman is pouring batter into a bowl.,1
A man is looking at a computer monitor.,A man is using a laptop.,2.75
The boy is riding a tricycle.,A woman is riding a water scooter.,1.25
Two men compete in a tire rolling race.,Two people flipped tractor tires in a race.,2.75
A person is cutting a meat.,A person riding a mechanical bull,0
A man is playing a violin.,A woman is using a sewing machine.,0
The baby crawled through the doorway.,A baby is crawling across the floor.,2.4
A man is playing keyboard.,A person is playing a piano.,2.2
A man is smelling two pizzas.,A woman is feeding a man.,0.2
A monkey pulls the tail of a dog.,A monkey is teasing a dog at the zoo.,2.8
A dog lies on his back on a wooden floor.,A dog is laying on the floor.,4
A woman is frying something in the pan.,A man is playing his guitar.,0
A man puts seasoning in a bowl of water.,The man added seasoning to water in a bowl.,5
An elderly woman is pouring oil into a frying pan.,A tied man is putting into water.,0
A woman is chopping an onion.,A woman is slicing partially into half of an onion.,3.2
The woman picked up the kangaroo.,A woman is carrying a kangaroo.,3.5
A dog biting on a can.,A dog opens a can of food.,1.75
A woman is deboning a fish.,A man catches a fish.,1.25
A man is mowing grass.,A man is busting concrete.,0.833
A cat is watching a TV.,A man is slicing a leave.,0
The boy is stuck in the door of the doghouse.,A child is stuck in a dog house.,3.75
People flip into a swimming pool.,Men are falling into a pool.,2.75
A woman swims underwater.,A woman is swimming.,3.8
A man is playing a guitar.,A woman is dancing.,0.2
An airplane is flying in the air.,A South African Airways plane is flying in a blue sky.,3.4
A bear is running from two dogs.,A bear is fighting wolves.,1.4
A woman is resting in a floating raft.,A woman relaxes in an inner tube.,3.8
A man is dieing in an operating room.,A man is kissing a woman in stage.,0.4
A man is holding a leaf.,A woman is watching television.,0
A person is riding a horse.,A woman is slicing potatoes.,0
A woman is slicing octopus.,A man is playing the guitar.,0
A man is breaking water jugs.,A woman is peeling garlic.,0.2
A man is playing a guitar.,A woman is cutting vegetable.,0
A girl is eating a cupcake.,A man is slicing a cucumber.,0
The little girl played on the grass with a dog and a ball.,A baby plays with a dog and ball.,3.8
People ride and paddle a raft.,Four people are floating on a raft.,2.25
The lady cut up a potatoe.,A man is cutting a potato.,2.4
The missile exploded.,A rocket exploded.,3.2
A dog is playing in the snow.,A dog is pawing at a fly in the carpet before it.,1.6
A woman is dancing with other women.,A woman is shredding chicken.,0.4
A boy is pushing a van.,A person is slicing a tomato.,0
A boy is making some dance steps.,A boy is pouring something from a pitcher.,0.4
A woman is opening a soda and drinking it.,A woman is riding on an elephant.,0.6
A man is assembling speaker parts.,A man is playing the guitar.,1
The dog walked along the edge of the pool.,A dog is walking along a pool.,4.6
Butter is being put into a bowl.,A man cutting butter into a mixing bowl.,4.25
Raccoons are eating.,A man is eating.,1.5
Someone fell off a horse.,A man gets knocked off of a horse.,3.5
A woman peels an apple.,A man pops wheelies on a motorcycle.,0
A man is taking some math classes.,A man is rinsing a steak.,0
Animals are playing in water.,Two men are playing ping pong.,0
A man is riding a horse and jumping over obstacles.,A man is kicking a soccer ball.,0.333
A person is doing pencil tricks with his hand.,A person is slicing carrots in half.,0.333
The person lit the cameras on fire.,A person is blow torching cameras.,3.333
The man is slicing the tape from the box.,A man is cutting open a box.,4.333
A man is fishing in the river.,A man is singing while walking down the sidewalk.,0.8
A man is riding a bike.,A woman is dancing in the street.,0.2
A man is doing push-ups.,A woman is cutting some octopus.,0
A man is playing guitar.,A woman is slicing up some pork.,0
The little boy is singing and playing the guitar.,A baby is playing a guitar.,2.8
A woman is powdering her face.,The woman is tapping her fingers on the table.,0.8
A woman is peeling a potato.,A lion is walking around.,0
A woman is firing a rifle.,A man is performing stunts.,0.25
A woman puts a garland over a man's shoulders.,A man pours water over a pilots head.,0.5
An old woman is shaking hand with a man.,A man and a woman shake hands.,3.75
The woman is waterskiing.,A woman is wake boarding on a lake.,1.75
Trees are bending in storm.,Trees are hit by very hard winds.,2.667
A man and woman is riding in a car.,A woman is frying shrimp.,0.4
A man is moving a tree limb.,The woman is playing the violin.,0
A man plays a piano.,A woman is playing the violin.,1
A person pours oil on a skillet.,A person is dicing an onion.,0.8
The animal is eating.,A woman is dancing.,0
The woman is walking her dog.,A woman walks her dog down the street.,4
A group of people sing.,Some people are singing.,5
The cat is drinking milk.,A cat is licking from a saucer of milk.,4.4
A girl is making eyelid.,A woman is applying eyeshadow.,2
Two men are fighting.,Two men are fighting using a form of martial arts.,2.8
The military officer barked at the recruits.,An officer is talking to recruits.,2.5
The man is putting chicken into the container.,A man is putting foods in a box.,2.5
A man is tying on a stenographers machine.,the man used a stenograph.,2.25
A woman is adding pasta to a pot of water.,A woman is making noodles.,3.6
A woman is lying on a blanket on a rock and reading a book.,A woman seated is singing a song and playing the guitar too.,1.2
Two puppies are playing with each other.,Some men are playing soccer.,0.2
A man is running on a field.,A man climbs up a rope.,1
A man is hugging someone.,A man is taking a picture.,0.4
Someone is pouring ingrediants into a pot.,A man puts vegetables into a pot.,2.8
A couple are walking.,Some men are sawing.,0
A person is playing a guitar.,The man played his guitar.,3
A person is adding food in a pan.,A woman puts rice into a pan.,3
A group of penguins is walking.,A large amount of penguins are heading to the ocean.,2.8
A man is playing a guitar.,Someone is handling a bun.,0
A dog is jumping on a trampoline.,A boy is playing a guitar.,0
A man is shaking a container over a kitchen sink.,A man is emptying a plastic container.,2.2
A man is walking with a horse.,A man is leading a horse around by it's halter.,3.75
Paper is being cut with scissors.,A piece of paper is being cut.,4
A person peels shrimp.,The lady peeled the shrimp.,3.5
A man is playing a guitar.,A man tries to read the paper.,0.8
A man making a bed in a hotel.,A man is holding a animal.,0.8
The dog pulled the dogs tail and then his leg.,A monkey pulled a dogs tail.,1.75
A woman beats two eggs in a bowl.,A person is mixing ingredients in a bowl.,3
A man is jumping rope outside.,A woman is slicing a cucumber.,0
A person is slicing some onions.,A hamster is singing.,0
A woman holds a kangaroo.,A man in a hat sings a song.,0
Soccer players are kicking a soccer ball into the goal.,A soccer player scores a goal.,3.8
A woman is cooking something.,A woman is pouring ingredients into a frying pan.,3.2
A woman is swimming in the beach.,A woman splashes around in the ocean's waves.,3.2
A man is carrying another man.,A man sprays another man with water from a hose.,0.8
The woman is putting paste into a dish.,A woman is pulling some kind of sticky goo out of a bowl.,1.5
A man is holding up and talking about a gray You Tube T-shirt.,A man is showing a t shirt.,2.75
Someone pours olive oil into a bowl of tomato wedges.,The man poured oil on the tomato slices.,3.75
A man is playing the guitar.,The man played his guitar with a friend.,3.2
Someone is boiling okra in a pot.,Someone pours olive oil into a bowl of tomato wedges.,0.8
A person is peeling a potato.,A cat is licking a small bottle.,0
A cat is jumping into a box.,A young man is talking to a leaf.,0
The woman is seasoning the oil.,A woman is pouring ingredients in a bowl.,1.4
A cat is sliding upside down under a couch.,A cat is crawling under a piece of furniture on it's back.,3.2
A woman dances while a man plays the keyboard.,A woman is dancing on a stage.,2.2
A chef is cleaning up a bowl of soup.,A man is wiping the edge of a bowl off.,2.533
An explosion is booming in the desert.,A nuclear weapon explodes in a desert.,3.4
A woman slices a lemon.,A man is talking into a microphone.,0
An overweight man is skipping rope.,A young man is dancing.,0.8
The lady cracked two raw eggs.,The woman is cracking eggs into a bowl.,3.2
A man sharpens a pencil using a knife.,A woman is dancing in the rain.,0
Plastic toys are floating in water.,The ladies are performing a dance.,0
The turtle followed the fish.,A sea turtle is hunting for fish.,3
The woman is pencilling on eye shadow.,The girl is using an eye pencil on her eyelid.,2.8
A man is tying his shoe.,A dog is riding on a bicyclists shoulders.,0
A woman is slicing meat with a knife.,A man is spreading out dough.,0.417
A dog is running on the ground.,A girl is tapping her finger nails.,0
A man is petting a tied up dog.,A man is showing his dog to the camera.,1
A woman is walking on an open ground with a pet dog as some other dogs follow them.,A man is walking with several dogs.,2
A woman is mincing some garlic.,A person is cleaning a disk.,0
Two teams are playing soccer.,Different sets of teams are playing football on a field.,2.5
A rat like creature is smelling around.,An animal is walking on the ground.,2
Two Sumo ringers are fighting each other.,A man rides a water toy in the water.,0
A man lays on the ground and aims a rifle.,A man is spreading butter on a tortilla.,0
A couple are running towards the ocean.,"A man and and woman are running together, holding hands.",2.818
A woman is chopping a hard egg.,A person is cutting  boiled egg into pieces.,3.533
Two robots share a kiss.,A male and female robot are kissing.,3.8
A cat is trying to touch a dog.,The cat teased the dog by touching his head.,3.25
The rhino grazed on the grass.,A rhino is grazing in a field.,4
The man drove his little red car around the traffic.,The dog ran in the water at the beach.,0
A man is cutting bread.,A man is doing tricks with a soccer ball.,1
A cat rapidly swats a kid in the head.,A cat and a boy play together.,2.6
A cat is playing in a box.,The dog is playing with the floor cleaner.,1.4
The couple danced in the church.,A couple slow dances.,3.2
A man is patting an alligator on the mouth.,A person is dumping chopped vegetables into a pot on the stove.,0
A person checks some rice pudding.,A horse is running.,0
A woman is stirring two eggs in a glass bowl.,A young girl is singing on a stage.,0
The man is playing the drums.,A man pours cleaner in his sink.,0
A man is slicing a pepper.,A person cuts a big green pepper apart.,3.8
A woman is speaking in sign language.,A woman spices some seafood.,0.643
A boy is crawling into a dog house.,A cat is playing on the floor.,0
The girl flew her kite while she ran up a hill.,A girl loses her kite.,2.25
A woman is placing food in a pot of hot water.,A woman is frying meat.,1.25
A small monkey walks through water.,A monkey is wading across a marsh.,3.4
A man is riding a bike.,A panda bear is eating.,0
A young man is singing and playing the piano.,The man is writing a letter.,0.2
A boy takes off his sunglasses.,A boy is screaming.,0.5
A girl is playing a piano.,A boy is doing push ups.,0
The lady sliced a tomatoe.,Someone is cutting a tomato.,4
Someone is holding a hedgehog.,A onion is being sliced.,0
A woman peels a potato.,A woman is grilling pineapples.,1
A cat is drinking some water.,A truck is going down a hill.,0
A person is putting salt and pepper on a piece of pork.,A youngster is sitting on a piano.,0
The man sat in his chair and stared.,The little girl is putting her hair into a pony tail.,0
A woman is dicing a potato.,A woman cuts tofu into tiny pieces.,1.8
A baby is crawling happily.,A baby sneezed and scared another baby.,1.2
A person is frying a meat in the pan.,A man is cutting a vegetable.,0.6
A man is looking out of a window.,A woman is swimming in the water.,0.25
A man seated is playing the guitar.,A man is playing an acoustic guitar and singing into a microphone.,3.25
A woman is slicing an onion with a knife.,A man is preparing some dish.,1.25
A rider is running and jumping her horse.,A woman jumps hurdles on a horse.,4
A boy is playing a key-board.,A boy is sitting in a room playing a piano by lamp light.,3.25
Two men are fighting.,The man is exercising.,0.75
A man is playing a wooden flute while several other men play bongo drums.,A man is playing a flute.,3.25
A person is petting a monkey.,A man is holding a slow loris.,1.2
Two cartoon rabbits are kissing.,A rabbit is kissing another rabbit.,3.8
The hedgehog chewed on the towel.,A hedgehog is biting at a blanket.,3.4
A cat is licking himself.,A man is slicing a white onion with a mandolin slicer.,0
A small guinea pig is gnawing and eating a piece of carrot on the floor.,A Guinea pig eats a carrot.,3.5
Four boys are standing in front of the burning car.,Four young men stand still as a car explodes behind them.,3.75
A man is smoking.,The man sat in his suit and smoked.,4
A woman is adding sauce to some food.,A person is cutting leaves.,0.2
